binary,Inlet_1,Inlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6

1011111111011111111111111101110111100111101101111111010111110110111110110111101111111110111010111111110111,1,2,1.45828858957645,1.49051990777132,1.53170818110102,1.54957625132677
1011111111011111111111111110101011111100111111111111111111111001011011111010111101111111111010111011101111,1,2,1.43926609850293,1.48004332318931,1.52005622616822,1.54961784949555
1011111111011111111111111111011011101001011101111111111111101111100011111000101010011111110111111111011011,1,2,1.41438650048623,1.4347496674161,1.46939976708933,1.50760678751958
1011111111011111111111111111101011111111011111111011101101111101111111111111111000111111101111111111011111,1,2,1.43925384728827,1.46674161984738,1.49399152897171,1.50926288444788
1011111111011111111111111111111110111111101111111011111111111111110101111111111111110111111111101111011111,1,2,1.45891869680972,1.4837128339905,1.52558674573425,1.54857537500838
1011111111011111111111111111111111111011111111010111111111111101111101101111111110011111111111101110111111,1,2,1.45644298679592,1.48765440366458,1.52530019704223,1.55066384735377
1011111111011111111111111111111111111110111111101111100111111111111111111111111111111111010111111111011111,1,2,1.44921433650589,1.47877354252618,1.51394370399938,1.53252068809101
1011111111011111111111111111111111111111111111111111111111101111111101111101111101011111111111110111101011,1,2,1.45091872330743,1.47763270192443,1.51168116670667,1.54115714017431
1011111111100001111111011111111001111011111111101111111111111111111011111100101101111111111111111111111111,1,2,1.4457526924169,1.4688076392847,1.50222093503485,1.53519397055099
1011111111100111101111111101110011111110111110101011111111110101111110101011111111011111011011111101111011,1,2,1.44457989801863,1.48065421120323,1.52466061755386,1.55483012385797
1011111111100111110100011110111111011111111110111111111111111111001111110011111111111111011101101101111011,1,2,1.43449060094518,1.47243674313664,1.52492605979975,1.55637505030877
1011111111100111110111111111111101111110111101111110111101111101111111100111111110111101111111100111110110,1,2,1.43641195348598,1.48116210161587,1.51154991825576,1.53263611202548
1011111111100111111010101110111111111011111111101111111101010111111101111111111011101110101111111111101111,1,2,1.48008103100959,1.51529335343971,1.5499859547075,1.57192725547414
1011111111100111111010111111111011110111111111101111111111111111111111111011111111101011111011111011010101,1,2,1.46992264902098,1.49416079867197,1.53122480496869,1.55423680377714
1011111111100111111101111111111110111111111111111111101111111010110111101111111011111111100110111111111111,1,2,1.48322327831258,1.50885441095179,1.5500172158347,1.57090931163761
1011111111100111111111111011111111111111111111011111111111111111111011111111111110111110111011111111011011,1,2,1.46360212406359,1.49824331513107,1.53582583749687,1.55683718741138
